model,dom_general,dom_medical,dom_social,train_scratch,train_fine_tuning,size_between_100_130,size_over_130
BERT,1,0,0,1,0,1,0
DISTILBERT,1,0,0,1,1,0,0
SPANBERT,1,0,0,1,0,1,0
ROBERTA,1,0,0,1,0,1,0
ELECTRA,1,0,0,1,0,1,0
ALBERT,1,0,0,1,0,0,0
XLNET,1,0,0,1,0,1,0
GPT2,1,0,0,1,0,1,0
T5,1,0,0,1,0,0,1
PEGASUS,1,0,0,1,0,0,1
BART,1,0,0,1,0,1,0
BERTWEET,0,0,1,1,0,0,1
BIOBERT,1,1,0,0,1,1,0
BIOCLINICALBERT,1,1,0,0,1,1,0
SCIBERT,0,1,0,1,0,1,0
PUBMEDBERT,0,1,0,1,0,1,0
ENDRBERT,0,1,1,0,1,0,1
BIOELECTRA,0,1,0,1,0,1,0
BIOROBERTA,1,1,0,0,1,1,0
SCIFIVE,1,1,0,0,1,0,1